"family","genus","species","mean.kg","max.kg","min.kg","min.length","mean.length","max.length"
"Carangidae","Seriola","hippos",10.78,15.684,8.187,74.75,81.28,92.84
"Carangidae","Seriola","dumerili",5.347,7.801,4.697,61.52,64.23,73.68
"Lethrinidae","Gymnocranius","spp",3.773,4.193,3.353,56.17,58.39,60.6
"Lethrinidae","Lethrinus","nebulosus",2.82,2.82,2.82,53.49,53.49,53.49
"Monacanthidae","Eubalichthys","caeruleoguttatus",1.408,1.496,1.319,41.5,42.42,43.34
"Sparidae","Chrysophrys","auratus",1.232,1.552,0.668,31.24,38.33,42.25
"Labridae","Choerodon","rubescens",1.15,4.967,0.076,16.14,33.85,64.16
"Serranidae","Plectropomus","spp",1.127,1.127,1.127,41.31,41.31,41.31
"Lethrinidae","Lethrinus","miniatus",1.034,3.503,0.243,24.79,36.77,55.95
"Scaridae","Scarus","sp3",0.621,1.542,0.076,14.76,26.29,39.97
"Carangidae","Decapterus","spp",0.521,0.579,0.462,30.22,31.41,32.61
"Pomacanthidae","Chaetodontoplus","personifer",0.445,0.709,0.279,23.57,27.16,32.53
"Scaridae","Scarus","chameleon",0.388,0.484,0.292,23.98,26.13,28.29
"Labridae","Bodianus","solatus",0.357,0.467,0.247,25.93,28.95,31.97
"Scaridae","Scarus","ghobban",0.347,0.347,0.347,23.95,23.95,23.95
"Mullidae","Parupeneus","spilurus",0.256,0.712,0.009,7.77,20.32,32.53
"Lutjanidae","Lutjanus","sp10",0.211,0.211,0.211,22.57,22.57,22.57
"Tetraodontidae","Unknown","spp",0.152,0.203,0.082,15.43,18.82,21.07
"Pomacanthidae","Apolemichthys","trimaculatus",0.139,0.139,0.139,18.5,18.5,18.5
"Serranidae","Caprodon","schlegelii",0.117,0.152,0.09,18.18,19.76,21.56
"Scorpididae","Neatypus","obliquus",0.116,0.222,0.085,14.47,15.88,19.93
"Labridae","Notolabrus","parilus",0.1,0.1,0.1,20.64,20.64,20.64
"Chaetodontidae","Chaetodon","assarius",0.05,0.096,0.004,5.45,12.48,15.96
"Nemipteridae","Pentapodus","nagasakiensis",0.045,0.088,0.023,11.71,14.53,18.48
"Labridae","Coris","caudimacula",0.036,0.079,0.013,10.32,14,18.75
"Labridae","Coris","auricularis",0.036,0.344,0.002,5.27,12.37,30.37
"Labridae","Anampses","geographicus",0.036,0.244,0.002,6,11.49,27.14
"Mullidae","Parupeneus","chrysopleuron",0.024,0.028,0.016,9.17,10.54,11.16
"Pempherididae","Pempheris","klunzingeri",0.02,0.032,0.008,7.9,10.32,12.74
"Labridae","Austrolabrus","maculatus",0.012,0.027,0.003,5.28,8.05,11.16
"Apogonidae","Unknown","sp10",0.01,0.013,0.007,7.18,8,8.82
"Labridae","Unknown","sp3",0.008,0.009,0.007,7.67,8.13,8.59
"Labridae","Unknown","spp",0.006,0.015,0.001,4.26,7.11,10.01
"Labridae","Labroides","dimidiatus",0.004,0.005,0.004,7.51,7.72,7.93
"Pinguipedidae","Parapercis","spp",0.004,0.01,0.001,4.93,6.76,9.85
"Cirrhitidae","Paracirrhites","forsteri",0.004,0.004,0.004,6.95,6.95,6.95
"Labridae","Suezichthys","cyanolaemus",0.003,0.011,0.001,4.88,7.85,11.88
"Pomacentridae","Chromis","westaustralis",0.003,0.011,0,3.17,5.78,9.12
"Labridae","Pseudojuloides","elongatus",0.003,0.003,0.002,6.64,7.4,8.17
"Serranidae","Pseudanthias","spp",0.002,0.003,0.002,4.84,5.48,6.08
"Blenniidae","Unknown","spp",0.001,0.001,0.001,5.12,5.12,5.12
