"family","genus","species","mean.kg","max.kg","min.kg","min.length","mean.length","max.length"
"Sphyrnidae","Sphyrna","lewini",31.851,31.851,31.851,141.55,141.55,141.55
"Carcharhinidae","Carcharhinus","plumbeus",16.89,24.163,8.665,90.98,111.94,127.88
"Rachycentridae","Rachycentron","canadum",13.373,13.373,13.373,96.46,96.46,96.46
"Carangidae","Seriola","hippos",9.116,17.866,2.762,52.04,74.44,96.96
"Carangidae","Carangoides","spp",7.29,7.29,7.29,76.99,76.99,76.99
"Rhinidae","Rhynchobatus","australiae",6.672,6.672,6.672,99.58,99.58,99.58
"Carangidae","Seriola","dumerili",5.302,33.808,1.3,38.86,57.44,123.77
"Scombridae","Scomberomorus","spp",4.836,4.836,4.836,69.14,69.14,69.14
"Carangidae","Carangoides","fulvoguttatus",4.434,4.434,4.434,67.13,67.13,67.13
"Lethrinidae","Lethrinus","nebulosus",3.611,7.022,2.11,48.56,57.37,72.53
"Lethrinidae","Gymnocranius","grandoculis",3.442,4.283,2.497,49.65,55.3,59.85
"Lutjanidae","Pristipomoides","multidens",3.256,7.122,1.202,38.59,53.26,70.86
"Haemulidae","Diagramma","pictum labiosum",3.182,5.281,1.706,49.87,60.69,72.8
"Lutjanidae","Pristipomoides","typus",2.712,5.9,1.274,44.8,56.7,78.5
"Triakidae","Hemitriakis","falcata",2.574,2.605,2.544,77.25,77.55,77.85
"Glaucosomatidae","Glaucosoma","buergeri",2.411,3.659,1.041,39.08,51.81,62.11
"Lethrinidae","Lethrinus","miniatus",2.022,8.741,0.381,28.41,45.85,73.95
"Carcharhinidae","Carcharhinus","spp",1.939,1.939,1.939,58.87,58.87,58.87
"Triakidae","Mustelus","spp",1.897,2.32,1.58,66.76,71.05,76.43
"Tetraodontidae","Lagocephalus","sceleratus",1.884,3.55,0.779,38.34,50.04,64.41
"Serranidae","Epinephelus","morrhua",1.401,1.401,1.401,46.04,46.04,46.04
"Sparidae","Chrysophrys","auratus",1.385,4.9,0.538,28.9,39.47,63.77
"Labridae","Choerodon","rubescens",1.383,3.11,0.29,25.11,40.45,54.97
"Lutjanidae","Pristipomoides","spp",1.323,1.323,1.323,41.92,41.92,41.92
"Scaridae","Scarus","sp3",1.309,1.309,1.309,37.86,37.86,37.86
"Carcharhinidae","Carcharhinus","albimarginatus",1.203,1.203,1.203,47.18,47.18,47.18
"Monacanthidae","Nelusetta","ayraud",0.868,1.169,0.566,38.99,44.74,50.48
"Carangidae","Pseudocaranx","spp",0.844,1.474,0.444,29.81,36.55,44.77
"Labridae","Bodianus","solatus",0.776,1.796,0.37,29.62,36.35,49.72
"Lethrinidae","Lethrinus","ravus",0.712,0.892,0.53,31.11,34.08,36.87
"Serranidae","Epinephelus","areolatus",0.712,1.008,0.527,37.01,40.78,46.13
"Labridae","Bodianus","vulpinus",0.59,0.59,0.59,33.64,33.64,33.64
"Carangidae","Decapterus","spp",0.475,0.57,0.388,28.48,30.44,32.45
"Serranidae","Epinephelus","rivulatus",0.287,0.29,0.283,26.57,26.68,26.78
"Tetraodontidae","Unknown","sp1",0.253,0.277,0.228,21.95,22.72,23.48
"Labridae","Coris","auricularis",0.069,0.116,0.029,13.46,17.46,21.3
"Nemipteridae","Pentapodus","nagasakiensis",0.054,0.054,0.054,15.7,15.7,15.7
"Labridae","Stethojulis","spp",0.037,0.037,0.037,13.75,13.75,13.75
"Labridae","Unknown","na",0.031,0.031,0.031,12.91,12.91,12.91
"Mullidae","Parupeneus","spilurus",0.013,0.013,0.013,8.57,8.57,8.57
"Nemipteridae","Pentapodus","spp",0.006,0.006,0.006,6.85,6.85,6.85
"Pinguipedidae","Parapercis","nebulosa",0.003,0.006,0.001,4.39,6.84,9.01
"Labridae","Suezichthys","cyanolaemus",0.001,0.001,0.001,5.67,5.67,5.67
